date|time|description|vendor|amount
2023-04-15|10:13:25|ergonomic keyboard|Amazon|-89.50
2023-04-15|11:15:00|Invoice 1001 paid|Joe|1500.00
2023-05-10|14:22:30|wireless mouse|BestBuy|-45.99
2023-05-20|09:00:00|Office chair|Amazon|-199.99
2023-06-05|13:45:15|Website hosting|GoDaddy|-120.00
2023-06-18|15:30:00|Payment received|Client A|800.00
2024-10-16|10:27:59|Coffee|Starbucks|-5.00
2024-10-16|10:52:10|Transfer|Zelle|300.00
2024-10-16|10:52:23|Water Bill|Mecklenburg County|-100.00
2024-10-16|10:56:22|Light Bill|Duke Energy|-150.00
2024-10-16|17:00:20|Transfer|Zelle|90.00
2024-10-16|18:35:07|Coffee|Starbucks|-5.00
2024-10-16|18:35:50|Maintenance|Plumbling corp.|300.00
2024-10-16|18:43:20|Water bottles|Walmart|-4.00
2024-10-16|19:48:44|Transfer Money |Zelle|50.00
2024-10-16|21:42:17|Example deposit|User|500.00
2024-10-17|12:59:30|Paycheck|Fedex|100.00
2024-10-17|13:00:18|Lip Gloss|ULTA|-20.00
2024-10-17|13:18:11|Example Deposit|Siry|100.00
2024-10-17|13:18:52|Coffee |Starbucks|-12.00
2024-10-17|13:36:08|Gas|Shell|-20.00
